key,code,title,summary,goals,key:assistant,key:course,draftMode
tutorial-01,A1111,title1,summary1,goals1,assistant-01,course-01,True
tutorial-02,BB2222,title1,summary1,goals1,assistant-01,course-01,True
tutorial-03,ZZZ4444,title1,summary1,goals1,assistant-01,course-01,True
tutorial-04,AZZ4444,t,summary1,goals1,assistant-01,course-01,True
tutorial-05,BZZ4444,ti,summary1,goals1,assistant-01,course-01,True
tutorial-06,CZZ4444,title1 with 74 characters pppppppppppppppppppppppppppppppppppppppppppppppp,summary1,goals1,assistant-01,course-01,True
tutorial-07,DZZ4444,title1 with 75 characters ppppppppppppppppppppppppppppppppppppppppppppppppp,summary1,goals1,assistant-01,course-01,True
tutorial-08,HZZ4444,サンプルテキスト,summary1,goals1,assistant-01,course-01,False
tutorial-09,JZZ4444,<script>alert('exampleJS');</script>,summary1,goals1,assistant-01,course-01,False
tutorial-10,IZZ4444,title1,s,goals1,assistant-01,course-01,False
tutorial-11,KZZ4444,title1,su,goals1,assistant-01,course-01,False
tutorial-12,LZZ4444,title1,this is a summary with a 99 character to test ppppppppppppppppppppppppppppppppppppppppppppppppppppp,goals1,assistant-01,course-01,False
tutorial-13,XZZ4444,title1,this is a summary with a 100 character to test ppppppppppppppppppppppppppppppppppppppppppppppppppppp,goals1,assistant-01,course-01,False
tutorial-14,ZAZ4444,title1,サンプルテキスト,goals1,assistant-01,course-01,False
tutorial-15,ZSZ4444,title1,<script>alert('exampleJS');</script>,goals1,assistant-01,course-01,False
tutorial-16,ZDZ4444,title1,summary1,g,assistant-01,course-01,False
tutorial-17,ZFZ4444,title1,summary1,go,assistant-01,course-01,False
tutorial-18,ZGZ4444,title1,summary1,goal1 with 99 characters pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,assistant-01,course-01,False
tutorial-19,ZHZ4444,title1,summary1,goal1 with 100 characters pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,assistant-01,course-01,False
tutorial-20,ZJZ4444,title1,summary1,サンプルテキスト,assistant-01,course-01,False
tutorial-21,ZKZ4444,title1,summary1,<script>alert('exampleJS');</script>,assistant-01,course-01,False
